"iteration","accuracy","mean_C"
1,0.516666666666667,42.0004
2,0.633333333333333,8.0002
3,0.616666666666667,26.0002
4,0.583333333333333,224.0002
5,0.583333333333333,244
6,0.566666666666667,26.0002
7,0.633333333333333,226
8,0.566666666666667,24.0004
9,0.583333333333333,26.0002
10,0.616666666666667,26.0002
11,0.533333333333333,22.0006
12,0.55,224.0002
13,0.566666666666667,224.0002
14,0.516666666666667,204.0004
15,0.566666666666667,208
16,0.516666666666667,20.0008
17,0.566666666666667,224.0002
18,0.55,604
19,0.6,224.0002
20,0.566666666666667,206.0002
21,0.516666666666667,404.0002
22,0.633333333333333,244
23,0.6,46
24,0.533333333333333,44.0002
25,0.583333333333333,8.0002
26,0.583333333333333,6.0004
27,0.566666666666667,26.0002
28,0.483333333333333,8.0002
29,0.583333333333333,26.0002
30,0.516666666666667,24.0004
31,0.533333333333333,224.0002
32,0.566666666666667,46
33,0.583333333333333,28
34,0.616666666666667,42.0004
35,0.55,8.0002
36,0.516666666666667,44.0002
37,0.566666666666667,10
38,0.55,222.0004
39,0.516666666666667,422.0002
40,0.6,8.0002
41,0.516666666666667,440.0002
42,0.466666666666667,402.0004
43,0.516666666666667,6.0004
44,0.566666666666667,222.0004
45,0.55,24.0004
46,0.5,26.0002
47,0.466666666666667,22.0006
48,0.5,204.0004
49,0.516666666666667,206.0002
50,0.55,224.0002
51,0.566666666666667,420.0004
52,0.583333333333333,8.0002
53,0.516666666666667,242.0002
54,0.566666666666667,208
55,0.65,244
56,0.583333333333333,404.0002
57,0.516666666666667,44.0002
58,0.516666666666667,226
59,0.666666666666667,64
60,0.566666666666667,4.0006
61,0.5,6.0004
62,0.583333333333333,42.0004
63,0.533333333333333,402.0004
64,0.533333333333333,202.0006
65,0.6,46
66,0.566666666666667,44.0002
67,0.616666666666667,244
68,0.583333333333333,226
69,0.633333333333333,208
70,0.55,40.0006
71,0.55,22.0006
72,0.516666666666667,224.0002
73,0.583333333333333,24.0004
74,0.5,64
75,0.583333333333333,10
76,0.6,406
77,0.566666666666667,26.0002
78,0.683333333333333,28
79,0.533333333333333,224.0002
80,0.5,224.0002
81,0.5,8.0002
82,0.6,206.0002
83,0.633333333333333,44.0002
84,0.466666666666667,226
85,0.566666666666667,22.0006
86,0.65,26.0002
87,0.566666666666667,224.0002
88,0.55,26.0002
89,0.533333333333333,224.0002
90,0.533333333333333,26.0002
91,0.55,22.0006
92,0.583333333333333,8.0002
93,0.533333333333333,206.0002
94,0.583333333333333,224.0002
95,0.533333333333333,242.0002
96,0.566666666666667,224.0002
97,0.533333333333333,226
98,0.55,204.0004
99,0.566666666666667,204.0004
100,0.55,28
