"iteration","accuracy","mean_C"
1,0.633333333333333,200.08
2,0.6,220.06
3,0.616666666666667,0.28
4,0.516666666666667,204.04
5,0.516666666666667,2.0602
6,0.5,202.2202
7,0.566666666666667,2.44
8,0.466666666666667,220.0402
9,0.45,22.24
10,0.516666666666667,20.2402
11,0.533333333333333,440.0002
12,0.566666666666667,240.22
13,0.466666666666667,222.22
14,0.45,2.2402
15,0.483333333333333,220.2202
16,0.616666666666667,0.28
17,0.533333333333333,20.2402
18,0.45,222.04
19,0.566666666666667,40.2202
20,0.6,0.0802
21,0.566666666666667,22.24
22,0.533333333333333,220.42
23,0.55,4.4002
24,0.616666666666667,20.26
25,0.6,22.0402
26,0.566666666666667,200.26
27,0.583333333333333,0.46
28,0.5,240.22
29,0.516666666666667,220.0402
30,0.5,202.06
31,0.516666666666667,200.4202
32,0.566666666666667,2.26
33,0.483333333333333,22.42
34,0.55,0.4402
35,0.5,2.62
36,0.633333333333333,222.22
37,0.5,220.24
38,0.6,24.04
39,0.55,220.0402
40,0.483333333333333,402.04
41,0.533333333333333,202.0402
42,0.616666666666667,0.28
43,0.466666666666667,0.64
44,0.633333333333333,20.26
45,0.5,2.44
46,0.533333333333333,202.0402
47,0.5,20.2402
48,0.533333333333333,20.0404
49,0.533333333333333,402.04
50,0.533333333333333,22.0402
51,0.5,22.0402
52,0.516666666666667,20.26
53,0.466666666666667,42.04
54,0.583333333333333,22.0402
55,0.583333333333333,22.0402
56,0.566666666666667,420.4
57,0.5,2.0602
58,0.583333333333333,40.06
59,0.533333333333333,20.26
60,0.516666666666667,202.06
61,0.566666666666667,400.4002
62,0.566666666666667,2.2402
63,0.55,22.24
64,0.483333333333333,200.0404
65,0.516666666666667,0.4402
66,0.55,4.4002
67,0.55,22.24
68,0.6,2.0602
69,0.5,40.24
70,0.55,0.0802
71,0.516666666666667,0.2602
72,0.583333333333333,4.06
73,0.483333333333333,200.2402
74,0.6,22.42
75,0.583333333333333,620.2
76,0.566666666666667,24.22
77,0.55,20.62
78,0.533333333333333,220.42
79,0.516666666666667,20.0602
80,0.483333333333333,402.04
81,0.583333333333333,220.24
82,0.516666666666667,22.2202
83,0.5,0.4402
84,0.516666666666667,2.0404
85,0.483333333333333,22.0402
86,0.5,222.04
87,0.45,220.24
88,0.533333333333333,202.24
89,0.533333333333333,2.0404
90,0.5,40.24
91,0.5,420.0202
92,0.5,0.4402
93,0.566666666666667,22.0204
94,0.533333333333333,200.26
95,0.516666666666667,4.2202
96,0.633333333333333,222.0202
97,0.466666666666667,20.08
98,0.533333333333333,0.0604
99,0.45,20.2402
100,0.516666666666667,240.0202
