"iteration","accuracy","mean_C","mean_gamma"
1,0.7,18.9740659610103,0.001
2,0.683333333333333,12.6497106406735,0.00712455532033676
3,0.666666666666667,18.9740659610103,0.0132491106406735
4,0.616666666666667,18.9740659610103,0.00712455532033676
5,0.633333333333333,18.9740659610103,0.00712455532033676
6,0.683333333333333,25.298421281347,0.00712455532033676
7,0.616666666666667,12.6497106406735,0.0132491106406735
8,0.716666666666667,25.298421281347,0.0193736659610103
9,0.616666666666667,6.52515532033676,0.0193736659610103
10,0.716666666666667,25.298421281347,0.00712455532033676
11,0.666666666666667,18.9740659610103,0.001
12,0.633333333333333,6.52515532033676,0.00712455532033676
13,0.683333333333333,25.298421281347,0.00712455532033676
14,0.733333333333333,18.9740659610103,0.00712455532033676
15,0.683333333333333,6.32535532033676,0.00712455532033676
16,0.666666666666667,25.298421281347,0.00712455532033676
17,0.666666666666667,19.1738659610103,0.0132491106406735
18,0.716666666666667,25.298421281347,0.001
19,0.7,25.298421281347,0.001
20,0.55,19.1738659610103,0.0193736659610103
21,0.65,31.6227766016838,0.00712455532033676
22,0.65,25.298421281347,0.001
23,0.716666666666667,25.298421281347,0.001
24,0.633333333333333,6.32535532033676,0.001
25,0.633333333333333,18.9740659610103,0.0132491106406735
26,0.583333333333333,12.6497106406735,0.00712455532033676
27,0.566666666666667,25.298421281347,0.0193736659610103
28,0.65,25.298421281347,0.001
29,0.683333333333333,12.8495106406735,0.0132491106406735
30,0.65,18.9740659610103,0.0132491106406735
31,0.7,25.298421281347,0.00712455532033676
32,0.733333333333333,25.298421281347,0.00712455532033676
33,0.666666666666667,31.6227766016838,0.00712455532033676
34,0.65,25.298421281347,0.0132491106406735
35,0.65,25.298421281347,0.0193736659610103
36,0.616666666666667,19.1738659610103,0.00712455532033676
37,0.766666666666667,18.9740659610103,0.001
38,0.7,25.298421281347,0.0132491106406735
39,0.583333333333333,25.298421281347,0.0132491106406735
40,0.566666666666667,31.6227766016838,0.0132491106406735
41,0.7,12.6497106406735,0.00712455532033676
42,0.733333333333333,18.9740659610103,0.00712455532033676
43,0.683333333333333,25.298421281347,0.0132491106406735
44,0.616666666666667,25.298421281347,0.00712455532033676
45,0.666666666666667,18.9740659610103,0.00712455532033676
46,0.566666666666667,12.6497106406735,0.0132491106406735
47,0.616666666666667,25.298421281347,0.00712455532033676
48,0.75,18.9740659610103,0.00712455532033676
49,0.616666666666667,12.6497106406735,0.0132491106406735
50,0.6,25.298421281347,0.0132491106406735
51,0.7,18.9740659610103,0.001
52,0.7,25.298421281347,0.00712455532033676
53,0.633333333333333,18.9740659610103,0.00712455532033676
54,0.633333333333333,6.52515532033676,0.0132491106406735
55,0.65,31.6227766016838,0.0132491106406735
56,0.716666666666667,31.6227766016838,0.001
57,0.65,25.298421281347,0.00712455532033676
58,0.75,25.298421281347,0.00712455532033676
59,0.633333333333333,18.9740659610103,0.001
60,0.616666666666667,18.9740659610103,0.00712455532033676
61,0.716666666666667,18.9740659610103,0.0132491106406735
62,0.6,12.6497106406735,0.0132491106406735
63,0.733333333333333,18.9740659610103,0.001
64,0.683333333333333,12.8495106406735,0.00712455532033676
65,0.716666666666667,25.298421281347,0.00712455532033676
66,0.6,19.1738659610103,0.00712455532033676
67,0.683333333333333,25.298421281347,0.001
68,0.716666666666667,25.298421281347,0.0132491106406735
69,0.666666666666667,18.9740659610103,0.001
70,0.65,12.6497106406735,0.001
71,0.7,25.298421281347,0.0132491106406735
72,0.616666666666667,18.9740659610103,0.00712455532033676
73,0.716666666666667,12.6497106406735,0.0132491106406735
74,0.6,25.298421281347,0.0132491106406735
75,0.65,25.298421281347,0.001
76,0.666666666666667,18.9740659610103,0.001
77,0.7,6.32535532033676,0.00712455532033676
78,0.65,18.9740659610103,0.00712455532033676
79,0.65,12.6497106406735,0.00712455532033676
80,0.633333333333333,6.32535532033676,0.0132491106406735
81,0.683333333333333,18.9740659610103,0.0132491106406735
82,0.733333333333333,31.6227766016838,0.0132491106406735
83,0.65,18.9740659610103,0.0132491106406735
84,0.6,12.8495106406735,0.0193736659610103
85,0.7,18.9740659610103,0.0132491106406735
86,0.583333333333333,18.9740659610103,0.0132491106406735
87,0.666666666666667,18.9740659610103,0.00712455532033676
88,0.683333333333333,12.8495106406735,0.00712455532033676
89,0.716666666666667,31.6227766016838,0.001
90,0.65,18.9740659610103,0.00712455532033676
91,0.7,12.6497106406735,0.001
92,0.633333333333333,31.6227766016838,0.001
93,0.616666666666667,18.9740659610103,0.00712455532033676
94,0.75,12.6497106406735,0.00712455532033676
95,0.666666666666667,18.9740659610103,0.00712455532033676
96,0.7,18.9740659610103,0.00712455532033676
97,0.65,18.9740659610103,0.0132491106406735
98,0.683333333333333,25.298421281347,0.0132491106406735
99,0.65,18.9740659610103,0.00712455532033676
100,0.6,31.6227766016838,0.00712455532033676
