"iteration","accuracy","mean_C"
1,0.516666666666667,0.0406
2,0.516666666666667,0.2206
3,0.533333333333333,0.0208
4,0.533333333333333,2.4202
5,0.516666666666667,0.2404
6,0.466666666666667,0.0406
7,0.516666666666667,2.2402
8,0.55,0.2602
9,0.466666666666667,0.0604
10,0.5,0.0406
11,0.533333333333333,0.0208
12,0.55,4.06
13,0.566666666666667,0.2404
14,0.516666666666667,200.44
15,0.516666666666667,0.2404
16,0.516666666666667,2.2204
17,0.516666666666667,0.4006
18,0.483333333333333,0.0406
19,0.516666666666667,0.0604
20,0.45,0.2404
21,0.5,0.0208
22,0.566666666666667,0.2602
23,0.533333333333333,0.0406
24,0.566666666666667,2.4202
25,0.466666666666667,0.0406
26,0.483333333333333,2.44
27,0.6,0.0802
28,0.466666666666667,0.2206
29,0.516666666666667,0.0406
30,0.533333333333333,0.0406
31,0.516666666666667,0.0406
32,0.583333333333333,0.28
33,0.516666666666667,2.0602
34,0.516666666666667,0.2206
35,0.566666666666667,0.2404
36,0.55,2.0206
37,0.55,0.0604
38,0.533333333333333,20.0404
39,0.533333333333333,0.0208
40,0.483333333333333,2.0206
41,0.516666666666667,2.0404
42,0.516666666666667,0.0604
43,0.5,0.0406
44,0.533333333333333,0.0406
45,0.55,0.0406
46,0.583333333333333,0.2404
47,0.55,2.0404
48,0.416666666666667,20.0404
49,0.466666666666667,20.0206
50,0.566666666666667,0.2404
51,0.533333333333333,0.0604
52,0.466666666666667,0.4402
53,0.466666666666667,0.2206
54,0.533333333333333,0.4402
55,0.533333333333333,0.0604
56,0.533333333333333,2.44
57,0.55,0.0604
58,0.533333333333333,20.0404
59,0.583333333333333,2.44
60,0.533333333333333,0.2404
61,0.533333333333333,2.0404
62,0.5,0.2206
63,0.55,0.2404
64,0.516666666666667,0.0406
65,0.566666666666667,200.0602
66,0.516666666666667,0.0208
67,0.516666666666667,0.0208
68,0.566666666666667,20.0206
69,0.5,0.2404
70,0.483333333333333,202.0402
71,0.5,0.0406
72,0.566666666666667,20.44
73,0.566666666666667,0.0406
74,0.55,0.2404
75,0.533333333333333,0.2206
76,0.466666666666667,0.2602
77,0.55,0.0604
78,0.533333333333333,2.0206
79,0.55,0.0802
80,0.516666666666667,0.0604
81,0.516666666666667,0.0406
82,0.55,0.2206
83,0.516666666666667,0.2008
84,0.516666666666667,200.0404
85,0.566666666666667,0.0604
86,0.55,0.4204
87,0.5,0.2602
88,0.55,0.0802
89,0.516666666666667,0.0406
90,0.5,0.0604
91,0.583333333333333,0.2404
92,0.516666666666667,2.0206
93,0.516666666666667,0.0406
94,0.55,0.0406
95,0.533333333333333,200.0404
96,0.55,0.0406
97,0.533333333333333,2.0206
98,0.5,2.2204
99,0.533333333333333,0.0208
100,0.483333333333333,2.0404
