"iteration","accuracy","mean_C"
1,0.5,0.001
2,0.5,0.001
3,0.5,0.001
4,0.483333333333333,2.0008
5,0.516666666666667,20.0008
6,0.5,0.001
7,0.5,0.001
8,0.5,0.001
9,0.516666666666667,2.0008
10,0.5,0.001
11,0.5,0.001
12,0.466666666666667,4.0006
13,0.516666666666667,200.0008
14,0.5,0.001
15,0.5,0.001
16,0.5,0.001
17,0.5,0.001
18,0.5,0.001
19,0.5,0.001
20,0.5,0.001
21,0.516666666666667,2.0008
22,0.5,0.001
23,0.5,0.001
24,0.5,0.001
25,0.5,0.001
26,0.5,0.001
27,0.5,0.001
28,0.5,0.001
29,0.5,0.001
30,0.5,0.001
31,0.5,0.001
32,0.5,2.0008
33,0.516666666666667,2.0008
34,0.5,0.001
35,0.5,0.001
36,0.5,20.0008
37,0.5,0.001
38,0.5,0.001
39,0.5,0.001
40,0.5,0.001
41,0.466666666666667,2.0008
42,0.45,2.0008
43,0.483333333333333,2.0008
44,0.5,2.0008
45,0.5,0.001
46,0.5,0.001
47,0.5,0.001
48,0.5,0.001
49,0.5,0.001
50,0.5,0.001
51,0.5,2.0008
52,0.5,0.001
53,0.5,0.001
54,0.516666666666667,2.0008
55,0.5,0.001
56,0.483333333333333,2.0008
57,0.5,0.001
58,0.5,0.001
59,0.45,2.0008
60,0.5,0.001
61,0.5,2.0008
62,0.5,0.001
63,0.5,2.0008
64,0.5,0.001
65,0.5,0.001
66,0.5,0.001
67,0.5,0.001
68,0.533333333333333,2.0008
69,0.5,0.001
70,0.5,0.001
71,0.5,0.001
72,0.5,0.001
73,0.5,0.001
74,0.5,0.001
75,0.5,0.001
76,0.5,0.001
77,0.5,0.001
78,0.5,0.001
79,0.5,0.001
80,0.5,0.001
81,0.5,0.001
82,0.5,0.001
83,0.5,0.001
84,0.5,0.001
85,0.45,2.0008
86,0.5,0.001
87,0.5,0.001
88,0.483333333333333,2.0008
89,0.5,0.001
90,0.5,0.001
91,0.5,0.001
92,0.5,0.001
93,0.5,0.001
94,0.5,0.001
95,0.5,0.001
96,0.5,0.001
97,0.5,0.001
98,0.5,0.001
99,0.483333333333333,2.0008
100,0.5,0.001
