Var1,main_folder1,main_folder2,sub_folder1,sub_folder2,permute_number,folder_pair_index,processing_time,feature_count,feature_types
0.749,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute127_WINS_BINS_circular,permute127_FC_BOLD_circular,127,1,1768527277.0093,364,BNC+WNC+FC+BOLD
0.791,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute128_WINS_BINS_circular,permute128_FC_BOLD_circular,128,1,1768527277.57107,364,BNC+WNC+FC+BOLD
0.765166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute129_WINS_BINS_circular,permute129_FC_BOLD_circular,129,1,1768527273.8667,364,BNC+WNC+FC+BOLD
0.771833333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute12_WINS_BINS_circular,permute12_FC_BOLD_circular,12,1,1768527270.57476,364,BNC+WNC+FC+BOLD
0.7675,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute130_WINS_BINS_circular,permute130_FC_BOLD_circular,130,1,1768527273.84012,364,BNC+WNC+FC+BOLD
0.7635,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute131_WINS_BINS_circular,permute131_FC_BOLD_circular,131,1,1768527273.98242,364,BNC+WNC+FC+BOLD
0.791666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute132_WINS_BINS_circular,permute132_FC_BOLD_circular,132,1,1768527273.91255,364,BNC+WNC+FC+BOLD
0.787666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute133_WINS_BINS_circular,permute133_FC_BOLD_circular,133,1,1768527273.27983,364,BNC+WNC+FC+BOLD
0.780166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute134_WINS_BINS_circular,permute134_FC_BOLD_circular,134,1,1768527273.4044,364,BNC+WNC+FC+BOLD
0.771666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute135_WINS_BINS_circular,permute135_FC_BOLD_circular,135,1,1768527273.27163,364,BNC+WNC+FC+BOLD
0.765166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute136_WINS_BINS_circular,permute136_FC_BOLD_circular,136,1,1768527272.95186,364,BNC+WNC+FC+BOLD
0.768666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute137_WINS_BINS_circular,permute137_FC_BOLD_circular,137,1,1768527276.67547,364,BNC+WNC+FC+BOLD
0.761333333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute138_WINS_BINS_circular,permute138_FC_BOLD_circular,138,1,1768527276.64239,364,BNC+WNC+FC+BOLD
0.796166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute139_WINS_BINS_circular,permute139_FC_BOLD_circular,139,1,1768527277.79272,364,BNC+WNC+FC+BOLD
0.770666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute13_WINS_BINS_circular,permute13_FC_BOLD_circular,13,1,1768527293.10242,364,BNC+WNC+FC+BOLD
0.7575,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute140_WINS_BINS_circular,permute140_FC_BOLD_circular,140,1,1768527278.07982,364,BNC+WNC+FC+BOLD
0.769333333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute141_WINS_BINS_circular,permute141_FC_BOLD_circular,141,1,1768527277.9405,364,BNC+WNC+FC+BOLD
0.7685,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute142_WINS_BINS_circular,permute142_FC_BOLD_circular,142,1,1768527277.88741,364,BNC+WNC+FC+BOLD
0.783833333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute143_WINS_BINS_circular,permute143_FC_BOLD_circular,143,1,1768527277.24446,364,BNC+WNC+FC+BOLD
0.748666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute144_WINS_BINS_circular,permute144_FC_BOLD_circular,144,1,1768527277.28657,364,BNC+WNC+FC+BOLD
0.7735,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute145_WINS_BINS_circular,permute145_FC_BOLD_circular,145,1,1768527287.48359,364,BNC+WNC+FC+BOLD
0.770166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute146_WINS_BINS_circular,permute146_FC_BOLD_circular,146,1,1768527287.63956,364,BNC+WNC+FC+BOLD
0.759,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute147_WINS_BINS_circular,permute147_FC_BOLD_circular,147,1,1768527276.83829,364,BNC+WNC+FC+BOLD
0.756,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute148_WINS_BINS_circular,permute148_FC_BOLD_circular,148,1,1768527276.51622,364,BNC+WNC+FC+BOLD
0.743833333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute149_WINS_BINS_circular,permute149_FC_BOLD_circular,149,1,1768527277.81112,364,BNC+WNC+FC+BOLD
0.767666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute14_WINS_BINS_circular,permute14_FC_BOLD_circular,14,1,1768527292.778,364,BNC+WNC+FC+BOLD
0.7445,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute150_WINS_BINS_circular,permute150_FC_BOLD_circular,150,1,1768527277.75153,364,BNC+WNC+FC+BOLD
0.79,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute151_WINS_BINS_circular,permute151_FC_BOLD_circular,151,1,1768527277.55136,364,BNC+WNC+FC+BOLD
0.751833333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute152_WINS_BINS_circular,permute152_FC_BOLD_circular,152,1,1768527277.45126,364,BNC+WNC+FC+BOLD
0.726166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute153_WINS_BINS_circular,permute153_FC_BOLD_circular,153,1,1768527271.22924,364,BNC+WNC+FC+BOLD
0.764833333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute154_WINS_BINS_circular,permute154_FC_BOLD_circular,154,1,1768527271.18505,364,BNC+WNC+FC+BOLD
0.721666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute155_WINS_BINS_circular,permute155_FC_BOLD_circular,155,1,1768527271.29611,364,BNC+WNC+FC+BOLD
0.763666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute156_WINS_BINS_circular,permute156_FC_BOLD_circular,156,1,1768527271.42766,364,BNC+WNC+FC+BOLD
0.768666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute157_WINS_BINS_circular,permute157_FC_BOLD_circular,157,1,1768527271.19981,364,BNC+WNC+FC+BOLD
0.766666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute158_WINS_BINS_circular,permute158_FC_BOLD_circular,158,1,1768527271.28435,364,BNC+WNC+FC+BOLD
0.760666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute159_WINS_BINS_circular,permute159_FC_BOLD_circular,159,1,1768527271.63991,364,BNC+WNC+FC+BOLD
0.777666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute15_WINS_BINS_circular,permute15_FC_BOLD_circular,15,1,1768527270.56773,364,BNC+WNC+FC+BOLD
0.7975,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute160_WINS_BINS_circular,permute160_FC_BOLD_circular,160,1,1768527271.27329,364,BNC+WNC+FC+BOLD
0.793333333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute161_WINS_BINS_circular,permute161_FC_BOLD_circular,161,1,1768527278.87494,364,BNC+WNC+FC+BOLD
0.7645,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute162_WINS_BINS_circular,permute162_FC_BOLD_circular,162,1,1768527279.08579,364,BNC+WNC+FC+BOLD
0.751166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute163_WINS_BINS_circular,permute163_FC_BOLD_circular,163,1,1768527278.80812,364,BNC+WNC+FC+BOLD
0.749333333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute164_WINS_BINS_circular,permute164_FC_BOLD_circular,164,1,1768527279.01769,364,BNC+WNC+FC+BOLD
0.7395,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute165_WINS_BINS_circular,permute165_FC_BOLD_circular,165,1,1768527310.23501,364,BNC+WNC+FC+BOLD
0.768833333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute166_WINS_BINS_circular,permute166_FC_BOLD_circular,166,1,1768527310.03936,364,BNC+WNC+FC+BOLD
0.767166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute167_WINS_BINS_circular,permute167_FC_BOLD_circular,167,1,1768527277.64375,364,BNC+WNC+FC+BOLD
0.760833333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute168_WINS_BINS_circular,permute168_FC_BOLD_circular,168,1,1768527277.37799,364,BNC+WNC+FC+BOLD
0.745333333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute169_WINS_BINS_circular,permute169_FC_BOLD_circular,169,1,1768527278.28532,364,BNC+WNC+FC+BOLD
0.7655,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute16_WINS_BINS_circular,permute16_FC_BOLD_circular,16,1,1768527270.41068,364,BNC+WNC+FC+BOLD
0.740833333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute170_WINS_BINS_circular,permute170_FC_BOLD_circular,170,1,1768527278.40216,364,BNC+WNC+FC+BOLD
0.785166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute171_WINS_BINS_circular,permute171_FC_BOLD_circular,171,1,1768527278.47277,364,BNC+WNC+FC+BOLD
0.788333333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute172_WINS_BINS_circular,permute172_FC_BOLD_circular,172,1,1768527278.49334,364,BNC+WNC+FC+BOLD
0.7725,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute173_WINS_BINS_circular,permute173_FC_BOLD_circular,173,1,1768527278.21089,364,BNC+WNC+FC+BOLD
0.766166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute174_WINS_BINS_circular,permute174_FC_BOLD_circular,174,1,1768527278.39667,364,BNC+WNC+FC+BOLD
0.770666666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute175_WINS_BINS_circular,permute175_FC_BOLD_circular,175,1,1768527278.42929,364,BNC+WNC+FC+BOLD
0.783166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute176_WINS_BINS_circular,permute176_FC_BOLD_circular,176,1,1768527278.48482,364,BNC+WNC+FC+BOLD
0.747166666666667,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute177_WINS_BINS_circular,permute177_FC_BOLD_circular,177,1,1768527278.69459,364,BNC+WNC+FC+BOLD
0.789,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute178_WINS_BINS_circular,permute178_FC_BOLD_circular,178,1,1768527278.62014,364,BNC+WNC+FC+BOLD
0.783,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute179_WINS_BINS_circular,permute179_FC_BOLD_circular,179,1,1768527278.63976,364,BNC+WNC+FC+BOLD
0.762333333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute17_WINS_BINS_circular,permute17_FC_BOLD_circular,17,1,1768527271.37038,364,BNC+WNC+FC+BOLD
0.781333333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute180_WINS_BINS_circular,permute180_FC_BOLD_circular,180,1,1768527278.16859,364,BNC+WNC+FC+BOLD
0.781,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute181_WINS_BINS_circular,permute181_FC_BOLD_circular,181,1,1768527278.33655,364,BNC+WNC+FC+BOLD
0.779833333333333,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute182_WINS_BINS_circular,permute182_FC_BOLD_circular,182,1,1768527278.85423,364,BNC+WNC+FC+BOLD
0.7575,permute_WINS_BINS_circular_second_based,permute_FC_BOLD_circular_second_based,permute183_WINS_BINS_circular,permute183_FC_BOLD_circular,183,1,1768527278.61543,364,BNC+WNC+FC+BOLD
