perm_acc,main_folder,sub_folder,processing_time
0.5365,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute136_WINS_BINS_FC_BOLD_all,1769148621
0.610833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute137_WINS_BINS_FC_BOLD_all,1769148613
0.4925,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute138_WINS_BINS_FC_BOLD_all,1769148614
0.537666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute139_WINS_BINS_FC_BOLD_all,1769148613
0.461166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute13_WINS_BINS_FC_BOLD_all,1769148622
0.566,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute140_WINS_BINS_FC_BOLD_all,1769148635
0.478166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute141_WINS_BINS_FC_BOLD_all,1769148635
0.589166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute142_WINS_BINS_FC_BOLD_all,1769148613
0.526,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute143_WINS_BINS_FC_BOLD_all,1769148614
0.3895,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute144_WINS_BINS_FC_BOLD_all,1769148613
0.525666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute145_WINS_BINS_FC_BOLD_all,1769148614
0.454166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute146_WINS_BINS_FC_BOLD_all,1769148613
0.418666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute147_WINS_BINS_FC_BOLD_all,1769148613
0.576,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute148_WINS_BINS_FC_BOLD_all,1769148613
0.4225,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute149_WINS_BINS_FC_BOLD_all,1769148613
0.503666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute14_WINS_BINS_FC_BOLD_all,1769148613
0.531,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute150_WINS_BINS_FC_BOLD_all,1769148613
0.397333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute151_WINS_BINS_FC_BOLD_all,1769148613
0.5765,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute152_WINS_BINS_FC_BOLD_all,1769148613
0.610833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute153_WINS_BINS_FC_BOLD_all,1769148613
0.598166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute154_WINS_BINS_FC_BOLD_all,1769148613
0.59,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute155_WINS_BINS_FC_BOLD_all,1769148621
0.601166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute156_WINS_BINS_FC_BOLD_all,1769148621
0.507333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute157_WINS_BINS_FC_BOLD_all,1769148621
0.515833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute158_WINS_BINS_FC_BOLD_all,1769148621
0.539166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute159_WINS_BINS_FC_BOLD_all,1769148621
0.470166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute15_WINS_BINS_FC_BOLD_all,1769148613
0.508833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute160_WINS_BINS_FC_BOLD_all,1769148621
0.447333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute161_WINS_BINS_FC_BOLD_all,1769148621
0.4765,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute162_WINS_BINS_FC_BOLD_all,1769148614
0.555666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute163_WINS_BINS_FC_BOLD_all,1769148614
0.453166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute164_WINS_BINS_FC_BOLD_all,1769148614
0.644166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute165_WINS_BINS_FC_BOLD_all,1769148614
0.485333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute166_WINS_BINS_FC_BOLD_all,1769148616
0.490666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute167_WINS_BINS_FC_BOLD_all,1769148616
0.5265,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute168_WINS_BINS_FC_BOLD_all,1769148616
0.420666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute169_WINS_BINS_FC_BOLD_all,1769148616
0.504333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute16_WINS_BINS_FC_BOLD_all,1769148621
0.5155,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute170_WINS_BINS_FC_BOLD_all,1769148613
0.526,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute171_WINS_BINS_FC_BOLD_all,1769148613
0.477,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute172_WINS_BINS_FC_BOLD_all,1769148613
0.4595,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute173_WINS_BINS_FC_BOLD_all,1769148612
0.407666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute174_WINS_BINS_FC_BOLD_all,1769148613
0.573833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute175_WINS_BINS_FC_BOLD_all,1769148613
